,_lambda,mu_tlof,mu_charge,total_charge_rate,rho,num_parks,p_blocking,effective_lambda,eff_surface_rho,airspace_capacity,Lq,var_Lq,num_tlof
33,1,120,2,4,0.25,2,-4.33680868994202e-19,1.0,0.25,100,0.0462684022716885,0.0714468230960276,1
34,1,120,2,6,0.1666666666666666,3,5.0523821237824507e-17,1.0,0.1666666666666666,100,0.0121104094449707,0.0137475388673881,1
35,1,120,2,8,0.125,4,1.9916793908558712e-16,0.9999999999999998,0.1249999999999999,100,0.0087491553891412,0.0089265959180348,1
36,1,120,2,10,0.1,5,-5.19359945674869e-16,1.0000000000000004,0.1,100,0.0084324829574917,0.0085102190781173,1
37,1,120,2,12,0.0833333333333333,6,2.62559884858099e-16,0.9999999999999998,0.0833333333333333,100,0.0084055652861292,0.0084766307281587,1
38,1,120,2,14,0.0714285714285714,7,-1.225137602298983e-16,1.0000000000000002,0.0714285714285714,100,0.0084035121947,0.0084741555374878,1
39,1,120,2,16,0.0625,8,-6.2552790231667e-16,1.0000000000000009,0.0625,100,0.0084033707197205,0.0084739860864109,1
40,1,30,4,4,0.25,1,2.6356954813122613e-16,0.9999999999999998,0.2499999999999999,100,0.1662601626203429,0.2604744211343566,1
41,1,30,4,8,0.125,2,-7.112366251504909e-17,1.0,0.125,100,0.0436420162527485,0.0483532202209779,1
42,1,30,4,12,0.0833333333333333,3,-7.35089072945172e-17,1.0,0.0833333333333333,100,0.0352357401399998,0.0366355850640766,1
43,1,30,4,16,0.0625,4,6.732895491134983e-17,1.0,0.0624999999999999,100,0.0345419112453199,0.0357445623677828,1
44,1,30,4,20,0.05,5,-3.0809129390480666e-17,1.0,0.05,100,0.034487088800365,0.0356770202626359,1
45,1,30,4,24,0.0416666666666666,6,6.468960024770543e-17,1.0,0.0416666666666666,100,0.0344830549107675,0.0356721695557816,1
46,1,30,4,28,0.0357142857142857,7,-3.215201542505763e-16,1.0000000000000002,0.0357142857142857,100,0.0344827777288916,0.0356718419685473,1
47,1,30,4,32,0.03125,8,3.3837949803272593e-16,0.9999999999999996,0.0312499999999999,100,0.0344827597934799,0.0356718208437634,1
48,1,45,4,4,0.25,1,4.423544863740858e-17,1.0,0.25,100,0.1365266841522114,0.2123495571547967,1
49,1,45,4,8,0.125,2,-1.1525069093520912e-16,1.0000000000000002,0.125,100,0.0298403719716938,0.0328302959462071,1
50,1,45,4,12,0.0833333333333333,3,-4.609468595663177e-17,1.0,0.0833333333333333,100,0.0232390806914476,0.0238806900973674,1
